a	累加器
slip-on	套領衫
slipcase	書套
slipcover	封套
slipover	套衫
slippage	滑移
slipper	拖鞋
slippery	滑的
slippery elm	赤榆
slippy	快的
slipshod	破爛的
slipstream	衝流
slipway	滑台
slit	裂縫
slit lamp	裂隙燈
slither	不穩地滑動
sliver	裂片
slob	泥
slobber	垂涎
sloe	黑刺李
slog	猛擊
slogan	吶喊聲
sloop	單桅帆船
slop	外衣
slope	傾斜
sloping	成斜坡的
sloppy	泥濘的
slosh	泥濘
sloshed	喝醉的
slot	水溝
slot machine	自動售貸機
sloth	怠惰
slothful	怠惰的
slouchy	沒精打採的
slough	泥沼
Slough of Despond	絕望的深淵
Slovak	斯洛伐克語
Slovakia	斯洛伐克
sloven	懶散的人
Slovenia	斯洛文尼亞
slovenly	邋遢的
slow	慢的
slow match	緩燃引信
slow motion	慢動作
slow neutron	慢中子
slow-witted	頭腦不好的
slowcoach	遲鈍的人
slowdown	降低速度
slowly	慢慢地
slub	粗節
sludge	軟泥
slug	鼻涕蟲
slugabed	睡懶覺的人
slugfest	激烈毆鬥
sluggard	偷懶者
sluggish	偷懶的
sluice	水門
slum	貧民窟
slumber	睡眠
slumgullion	燉肉
slumlord	惡劣房東
slummy	貧民區的
slump	暴跌
slur	連音符
slurp	吃的聲音
slush	爛泥
slushy	融雪的
slut	懶婦
sly	狡猾的
Sm	理科碩士
smack	風味
smacker	摑打者
small	小的
small arms	輕武器
small beer	淡啤酒
small capital	小大寫字母
small change	零錢
small end	小頭
small intestine	小腸
small letter	小寫字母
small talk	閒聊
small-bore	小口徑的
small-minded	心胸狹窄的
small-scale	小比例尺的
small-time	小規模的
small-town	小都市的
smallholding	小農場
smallpox	天花
smalt	大青色
smaltite	砷鈷礦
smarm	使
smarmy	虛情假意的
smart	聰明的
smart card	高級磁卡
smart money	罰款
smart set	最時髦的人
smarten	使瀟灑
smash	打碎
smash-up	猛撞
smashed	喝醉酒的
smasher	打碎者
smashing	猛烈的
smatterer	一知半解者
smattering	膚淺的知識
smaze	煙霾
smear	塗
smectic	淨化的
smegma	陰垢
smell	味道
smelly	發臭的
smelt	胡瓜魚
smew	斑頭秋沙鴨
smidgen	少量
smile	微笑
smiley	微笑符
smirch	沾污
smirk	傻笑
smite	重擊
smith	鐵匠
smithereens	碎片
smithery	鍛冶技術
smithsonite	菱鋅礦
smithy	鍛工車間
smitten	的過去分詞
smock	工作服
smocking	裝飾用衣褶
smog	煙霧
smoke	煙
smoke ball	煙幕彈
smoke bomb	煙幕彈
smokebox	煙箱
smokehouse	燻制室
smokeless	無煙的
smoker	吸煙者
smokescreen	煙幕
smokestack	煙囪
smokestone	煙晶
smoking	抽煙
smoking room	吸煙室
smoko	工間休息
smoky	冒煙的
smoky quartz	煙晶
smooch	摟抱接吻
smooth	平滑的
smooth muscle	平滑肌
smooth tongue	光舌
smooth-faced	沒胡須的
smoothing iron	熨鬥
smoothing plane	光刨
smoothly	平滑地
smoothness	柔滑
smother	使喘不過氣
smoulder	悶燒
smudge	污點
smug	自以為是的
smuggle	偷運
smuggler	走私者
smut	煤塵
smutty	煤灰色的
Sn	順序號
snack	小吃
snack bar	快餐櫃
snaffle	馬嚼子
snafu	一團槽的
snag	突出物
snail	蝸牛
snail mail	蝸牛郵件
snake	蛇
snakebird	蛇鵜
snakebite	蛇咬傷
snakehead	龜頭花
snakeroot	總狀升麻
snakeskin	蛇皮
snakeweed	拳參
snakewood	蛇紋木
snaky	蛇的
snap	使突然中斷
snapdragon	金魚草
snapper	咬人的狗
snappish	要咬人的
snapshot	快照
snare	陷阱
snarl	吼叫
snarl-up	阻塞
snatch	搶奪
snazzy	華麗的
sneaking	偷偷逃走的
sneaky	鬼祟的
sneer	冷笑
sneeze	噴嚏
snell	系鉤線
snib	門閂
snick	刻痕
snicker	竊笑
snide	贗品
sniff	以鼻吸氣
sniffer	嗅探器
sniffy	傲慢的
snigger	竊笑
sniggle	釣
snip	剪
snipe	沙錐
snippet	小片
snippy	暴躁的
snit	發怒
snitch	偷
snivel	流鼻涕
snob	勢利的人
snobbery	諂上欺下
snobbish	自命不凡的
snog	接吻
snood	婦女發網
snooker	彩色台球
snoop	調查
snooperscope	夜望鏡
snoot	鼻子
snooty	傲慢的
snooze	小睡
snore	鼾聲
snorkel	通氣管
snorter	鼻息粗的人
snot	鼻水
snotty	流鼻涕的
snout	鼻口部
snow	雪
snow leopard	雪豹
snow line	雪線
snow-blind	雪盲的
snow-white	雪白的
snowball	雪球
snowberry	白漿果
snowbird	雀科小鳥
snowbound	被雪困住的
snowcap	山頂積雪
snowdrift	雪堆
snowdrop	雪花蓮
snowfall	降雪
snowfield	雪原
snowflake	雪片
snowman	雪人
snowmobile	雪上機動車
snowpack	積雪場
snowplough	雪犁
snowshoe	雪鞋
snowslide	雪崩
snowstorm	暴風雪
snowsuit	孩童風雪裝
snowy	多雪的
Snr	信噪比
snub	冷落
snubber	冷落他人者
snuff	燭花
snuff-coloured	鼻煙色的
snuffbox	鼻煙盒
snuffer	燭剪
snuffle	鼻音
snuffy	鼻煙似的
snug	舒適的
snuggle	偎依
so	如此
so-and-so	某某人
so-called	所謂的
so-so	平常的
soak	浸
soaked	濕透的
soaking	濕透的
soap	肥皂
soap bubble	肥皂泡
soap opera	肥皂劇
soap powder	肥皂粉
soapberry	無患子
soapbox	肥皂盒
soapstone	皂石
soapwort	皂草
soapy	塗著肥皂的
soar	高揚
sob	啜泣
sob story	悲感故事
sober	未醉的
sobriety	節制飲酒
sobriquet	綽號
soc	社科新聞類
socage	停役租地
soccer	英式足球
sociability	社交活動
sociable	好交際的
social	社會的
social benefit	社會利益
social capital	社會資本
social contract	社會契約
social credit	社會債權說
social disease	性病
social insurance	社會保險
social psychology	社會心理學
social science	社會科學
social security	社會保障
socialism	社會主義
socialist	社會主義者
socialite	社交名流
socialize	使社會化
socialized medicine	公費醫療
societal	社會的
sociobiology	生物社會學
sociocultural	社會文化的
sociolinguistics	社會語言學
sociology	社會學
sociometry	社會測量
sociopath	反社會的人
sociopolitical	社會政治的
sock	短襪
socket	窩
sockeye	紅大馬哈魚
socko	轟動性的
socle	台石
Socrates	蘇格拉底
Socratic	蘇格拉底的
soda	蘇打
soda ash	無水碳酸鈉
soda fountain	冷飲櫃
soda lime	堿石灰
sodalite	方鈉石
sodality	友好
sodden	渾身濕透的
sodium	鈉
sodium bicarbonate	碳酸氫鈉
sodium carbonate	碳酸鈉
sodium chloride	氯化鈉
sodium cyanide	氰化鈉
sodium hydroxide	氫氧化鈉
sodium nitrate	硝酸鈉
Sodom	所多瑪
sodomite	雞奸者
sodomy	雞奸
soever	無論
sofa	沙發
Sofar	聲發
soffit	拱圈內面
soft	軟的
soft coal	煙煤
soft copy	軟拷貝
soft goods	軟貨物
soft loan	軟貨款
soft palate	軟齶
soft soap	軟皂
soft sore	軟下疳
soft sugar	綿白糖
soft-boiled	半熟的
soft-hearted	心腸軟的
soft-spoken	說話溫和的
softball	壘球運動
soften	變柔軟
softly	柔和地
software	軟件
softwood	軟木材
soggy	浸水的
soh	標頭開始符
SoHo	哈
soil	土壤
sojourn	逗留
soke	司法權
sol	溶膠
sol-fa	首調唱名法
sola	單張匯票
solace	安慰
solan	蔬草滅
solanaceous	茄科和
solanine	茄堿
solanum	茄
solar	太陽的
solar battery	太陽能電池
solar energy	太陽能
solar system	太陽系
solarium	日光浴室
solarize	使過度曝光
solatium	賠償
solder	焊接劑
soldering iron	烙鐵
soldier	軍人
soldiery	軍事訓練
soldo	索爾多
sole	腳掌
solecism	語法錯誤
solely	僅僅
solemn	嚴肅的
solemnity	嚴肅
solemnize	隆重地慶祝
solenoid	螺線管
soleplate	熨鬥底面
soleus	比目魚肌
solfeggio	唱名練習
soli	獨奏曲
solicit	請求
solicitor	律師
solicitor general	副檢察長
solicitous	關心的
solicitude	焦慮
solid	固體
solid angle	立體角
solid solution	固溶體
solid state	固態
solid-drawn	整體拉伸的
solidago	一枝黃花屬
solidarity	團結
solidary	團結一致的
solidify	凝固
solidity	固體性
solidus	蘇勒德斯
soliloquy	自言自語
solipsism	唯我論
solitaire	單人紙牌戲
solitary	獨居者
solitary confinement	單獨監禁
solitude	孤獨
solmization	視唱練習
solo	獨奏
soloist	獨奏者
Solomon	所羅門
Solomon's seal	萎蕤
solstice	至
soluble	溶解的
solus	單獨的
solute	溶解物
solution	解決
solvate	溶劑化物
Solvay process	索耳未法
solve	解決
solvent	溶劑
solvent extraction	溶劑萃取
som	報文開始符
soma	身體
Somali	索馬裡人
Somalia	索馬裡
somatic	身體的
somatic mutation	體細胞突變
somatization	軀體化
somato-	軀體
somatomedin	促生長因子
somatopleure	胚體壁
somatotype	體型
sombre	昏暗的
sombrero	闊邊帽
some	一些
some day	來日
somebody	了不起的人
somehow	不知何故
someone	有人
someplace	在某處
somersault	筋鬥
something	某事
sometime	以前的
sometimes	有時
someway	以某種方法
somewhat	某物
somewhere	到某處
somite	體節
sommelier	斟酒服務員
somnambulism	夢遊病
somniferous	催眠的
somnolent	想睡的
son	兒子
son-in-law	女婿
sonar	聲納
sonata	奏鳴曲
sonatina	小奏鳴曲
sone	味
song	歌
song sparrow	北美歌雀
songbird	燕雀
songbook	歌謠集
songsmith	作曲家
songster	歌手
songstress	女歌手
sonic	音波的
sonic barrier	音障
sonic boom	聲爆
sonics	聲能學
sonnet	十四行詩
sonneteer	十四行詩人
sonny	寶貝
sonobuoy	聲納浮標
sonoluminescence	音響照明
sonometer	弦音計
sonority	響亮
sonorous	宏亮的
sonsy	豐滿的
sook	膽小鬼
sool	嗾
soon	不久
soot	煤煙
sooth	真實
soothe	緩和
soothing	撫慰的
soothsayer	預言者
sooty	煤煙燻黑的
sop	面包片
sophism	詭辯
sophist	詭辯者
sophisticated	復雜的
sophistication	詭辯
sophistry	詭辯
sophomore	二年級生
soporific	催眠的
sopping	渾身濕透的
soppy	渾身濕透的
soprano	女高音
sorb	山梨樹
sorbefacient	促進吸收的
sorbent	吸附劑
sorbitan	脫水山梨醇
sorbitol	山梨醇
sorcerer	男巫士
sorceress	女巫女術士
sorcery	巫術
sordid	骯髒的
sore	悲傷的
sorehead	發怒的人
sorely	疼痛地
sorghum	高粱
Soroptimist	11 職業婦女福利互助會會員
sororal	姐妹的
sorority	婦女聯誼會
sorosis	椹果
sorption	吸附作用
sorrel	栗色的
sorrow	悲傷
sorrowful	悲傷的
sorry	難過的
sort	種類
sorta	有幾分地
sortie	出擊
sortilege	抽簽決定
sortition	抽簽
sorus	孢子堆
sot	醉鬼
sou'wester	油布防水帽
souffle	雜音
sough	颯颯聲
soul	靈魂
soul brother	黑人男子
soul kiss	深吻
soul-destroying	十分單調的
soul-searching	自我反省
soulful	充滿精神的
soulless	沒有精神的
sound	聲音
sound barrier	音障
sound pressure	聲壓
sound wave	聲波
Soundex	桑迪克斯
sounding	發出聲音的
sounding board	共振板
soundproof	隔音的
soundscape	音響範圍
soundtrack	聲蹟
soup	湯
soup kitchen	施舍處
soup spoon	湯匙
soupy	湯汁一樣的
sour	酸的
source	來源
source code	源代碼
source program	源程序
sourwood	酸漿樹
sousaphone	蘇薩號
souse	濺落
soutache	飾帶
soutane	法衣
south	南方
South Africa	南非
South America	南美
South Australia	南澳大利亞
South Korea	南韓
southbound	向南行的
southeaster	東南大風
southerly	向南的
southern	南方人
Southern blot	印蹟
southerner	南方人
southernwood	老人蒿
southing	南向緯度差
southpaw	用左手的
southward	朝南的方向
southwester	西南大風
souvenir	紀念品
sovereign	元首
sovereignty	主權
soviet	代表會議
sow	母豬
sowback	低沙丘
sowbread	歐洲仙客來
sown	的過去分詞
sox	短襪
soy	醬油
soya	大豆
soybean	大豆
soymeal	黃豆粉
sozzled	爛醉的
SP	岸上憲兵
sp.	酒精
spa	礦泉
space	位置
space bar	空格鍵
space charge	空間電荷
space group	空間群
space heater	空氣加熱器
space lattice	空間點陣
space rocket	航天火箭
space shuttle	航天飛機
space station	空間站
space-saving	節省篇幅的
space-time	時空
spacecraft	航天飛船
spaceman	航天專家
spaceport	火箭
spaceship	宇宙飛船
spacesuit	太空衣
spacewalk	太空行走
spacious	廣大的
spade	鏟子
spadework	挖掘工作
spadix	肉穗花序
spaewife	女算命者
spaghetti	意大利面條
Spain	西班牙
spall	殘瓦破片
spallation	散裂
spam	罐頭豬肉
span	指距
span of control	控制範圍
spandex	彈力纖維
spandrel	拱肩
spang	恰好
Spaniard	西班牙人
Spanish	西班牙人
Spanish fly	斑蟊
Spanish windlass	西班牙紋帶
spank	打
spanker	急行的人
spanking	清爽的
spanner	扳手
spar	晶石
spar deck	輕甲板
sparable	無頭小釘
spare	剩餘
spare part	備件
sparge	噴霧于
sparing	節約的
spark	火花
spark chamber	火花室
spark gap	火花隙
spark plug	火花塞
sparking plug	火花塞
sparkle	閃耀
sparkler	鑽石
sparkling	閃閃發光的
sparrow	麻雀
sparse	稀疏的
spartan	斯巴達的
spasm	痙攣
spasmodic	痙攣的
spasmolytic	解痙藥
spasmophilia	痙攣素質
spastic	痙攣的
spat	蠔卵
spate	泛濫
spathe	佛燄苞
spatial	空間的
spatter	濺
spatterdock	萍蓬草
spatula	刮刀
spatulate	刮刀狀的
spavin	飛節內腫的
spawn	卵
spay	取掉卵巢
speak	說
speaker	說話人
speakerphone	揚聲電話
speaking	談話
speaking trumpet	喇叭筒
spear	矛
spearhead	矛尖
spearman	持矛士兵
spearmint	留蘭香
spec	投機
special	專輯
special constable	臨時警察
special delivery	郵件快遞
special drawing rights	特別提款權
special jury	特別陪審團
special licence	特別許可證
special pleading	特殊辯解
special sort	特殊分類
special verdict	特別裁決
specialist	專門醫師
speciality	專長
specialize	使特殊化
specialized	專門的
specially	特別地
specialty	專業
speciation	物種形成
specie	硬幣
species	種
specific	特效藥
specific activity	比活
specific charge	比荷
specific disease	特殊病
specific gravity	比重
specific heat capacity	比熱容
specific name	專用名
specific performance	具體履行
specification	規格
specify	詳列
specimen	樣品
specious	徒有其表的
speck	斑點
speckle	小的斑點
speckled	有斑點的
specs	眼鏡
spect	13 單光子發射計算機化斷層顯像
spectacled	戴了眼鏡的
spectacles	眼鏡
spectacular	公開展示的
spectate	出席觀看
spectator	觀眾
spectinomycin	大觀霉素
spectra	系列
spectral	光譜的
spectre	幽靈
spectro-	光譜
spectrochemistry	光譜化學
spectrogram	光譜圖
spectrograph	光譜儀
spectroheliograph	太陽攝譜儀
spectrohelioscope	太陽分光儀
spectrometer	分光計
spectrophotometer	分光光度計
spectroscope	分光鏡
spectroscopy	光譜學
spectrum	光譜
specular	鏡子的
speculate	深思
speculation	沉思
speculative	思索性的
speculum	金屬鏡
speech	演講
speech act	語音行為
speech recognition	語音識別
speechify	演說
speechless	不會說話的
speed	速率
speed limit	速度限制
speed-up	加速
speedboat	高速遊艇
speedily	趕緊
speedo	示速器
speedometer	速度計
speedster	高速競走者
speedway	汽車
speedy	快的
speedy trial	快速審理
speleology	洞穴學
spell	符咒
spellbind	用妖術迷惑
speller	拼字者
spelling	拼
spelling bee	拼字比賽會
spelter	粗鋅
spencer	針織短外衣
spend	花費
spending money	零用錢
spendthrift	浪費的人
spent	用盡的
sperm	精液
sperm oil	鯨油
spermaceti	鯨腦油
spermatheca	受精囊
spermatic	精液的
spermatic cord	精索
spermatid	精細胞
spermato-	種子
spermatocyte	精母細胞
spermatogenesis	精子發生
spermatogonium	精原細胞
spermatophore	精原細胞
spermatophyte	種子植物
spermatozoon	精蟲
spermicide	殺精子劑
spermine	精素
spermo-	種子
spew	嘔吐
sphagnum	泥炭蘚
sphalerite	閃鋅礦
sphenoid	楔形的
sphere	球
spheric	球的
spherical	球的
spherical aberration	球差
spherical coordinates	球面坐標
spheroid	球狀體
spherule	小球
spherulite	球粒
sphincter	括約肌
sphingolipid	鞘脂
sphingomyelin	鞘磷脂
sphingosine	鞘氨醇
sphinx	史芬克斯
sphygmo-	脈
sphygmograph	脈波計
sphygmomanometer	血壓計
spica	穗狀花序
spiccato	彈奏的
spice	香料
spicebush	山胡椒
spicule	針狀體
spicy	香的
spider	蜘蛛
spiderwort	紫露草
spidery	蜘蛛一般的
spiegeleisen	鏡鐵
spiel	演說
spifflicate	痛打
spiffy	出色的
spigot	栓
spike	長釘
spike heel	高後跟
spikelet	小穗
spikenard	芳香油膏
spiky	大釘一般的
spile	木栓
spill	溢出
spillikin	遊戲棒
spillover	溢出
spillway	溢洪道
spilth	溢出物
spin	旋轉
spina bifida	脊柱裂
spinach	菠菜
spinal	針的
spinal column	脊柱
spinal cord	脊髓
spindle	紗錠
spindle-shaped	梭狀的
spindly	紡鎚形的
spindrift	海浪的飛沫
spinel	尖晶石
spineless	無脊椎的
spinnaker	大三角帆
spinner	紡紗工人
spinneret	噴絲頭
spinney	矮林
spinning	紡紗
spinning wheel	手紡車
spinose	多刺的
spinster	未婚女人
spinthariscope	閃爍鏡
spinulose	有小刺的
spiny	多刺的
spiny-headed worm	棘頭蟲
spiracle	呼吸孔
spiral	螺旋形之物
spirant	擦音
spire	尖塔
spireme	染色質紐
spirillum	螺菌
