a	eɪ	-ā	ㄝㄧ	累加器
recitative	ˌrɛsɪtəˈtiːv	r-é-s-i-t-ə-t-ē-v	ㄖㄜㄙㄧㄉㄦㄉㄧㄈ	吟誦的
recite	rɪˈsaɪt	r-i-s-ī-t	ㄖㄧㄙㄚㄧㄉ	背誦
reck	rɛk	r-é-k	ㄖㄜㄍ	介意
reckless	ˈrɛklɪs	r-é-k-l-i-s	ㄖㄜㄍㄌㄧㄙ	不介意的
reckon	ˈrɛkən	r-é-k-ə-n	ㄖㄜㄍㄣ	計算
reckoner	ˈrɛknə	r-é-k-n-ə	ㄖㄜㄍㄋㄦ	計算者
reckoning	ˈrɛkənɪŋ	r-é-k-ə-n-i-ng	ㄖㄜㄍㄣㄧㄥ	計算
reclaim	rɪˈkleɪm	r-i-k-l-ā-m	ㄖㄧㄍㄌㄝㄧㄇ	開墾
reclassify	ˌriːˈklæsɪfaɪ	r-ē-k-l-a-s-i-f-ī	ㄖㄧㄍㄌㄚㄙㄧㄈㄚㄧ	三級分類
recline	rɪˈklaɪn	r-i-k-l-ī-n	ㄖㄧㄍㄌㄚㄧㄋ	使斜靠
recliner	rɪˈklaɪnə	r-i-k-l-ī-n-ə	ㄖㄧㄍㄌㄚㄧㄋㄦ	躺椅
reclothe	ˌriːˈkləʊð	r-ē-k-l-ə-oo-t-h	ㄖㄧㄍㄌㄦㄡㄘ	使重新穿著
recluse	rɪˈkluːs	r-i-k-l-ū-s	ㄖㄧㄍㄌㄨㄙ	隱遁的
reclusive	reclusive	r-ec-l-ū-s-ē-v-e	ㄖㄝㄕㄌㄨㄙㄧㄈㄝ	隱遁的
recoat	ˌriːˈkəʊt	-r-ē-k-ə-oo-t	ㄖㄧㄍㄦㄡㄉ	再塗在上面
recognition	ˌrɛkəgˈnɪʃən	r-é-k-ə-g-n-i-sh-ə-n	ㄖㄜㄍㄦㄍㄋㄧㄕㄣ	贊譽
recognizable	ˈrɛkəgnaɪzəbl	r-é-k-ə-g-n-ī-z-ə-b-l	ㄖㄜㄍㄦㄍㄋㄚㄧㄗㄦㄅㄌ	可認識的
recognizance	rɪˈkɒgnɪzəns	r-i-k-o-g-n-i-z-ə-n-s	ㄖㄧㄍㄛㄍㄋㄧㄗㄣㄙ	具結
recognizant	ˌriːˈkɒgnɪzənt	r-ē-k-o-g-n-i-z-ə-n-t	ㄖㄧㄍㄛㄍㄋㄧㄗㄣㄉ	認識到的
recognize	ˈrɛkəgnaɪz	r-é-k-ə-g-n-ī-z	ㄖㄜㄍㄦㄍㄋㄚㄧㄗ	認出
recoil	rɪˈkɔɪl	r-i-k-o-ē-l	ㄖㄧㄍㄛㄧㄌ	畏縮
recollect	ˌriːkəˈlɛkt	r-ē-k-ə-l-é-k-t	ㄖㄧㄍㄦㄌㄜㄍㄉ	回憶
recollection	ˌrɛkəˈlɛkʃən	r-é-k-ə-l-é-k-sh-ə-n	ㄖㄜㄍㄦㄌㄜㄍㄕㄣ	記憶
recolour	ˌriːˈkʌlə	r-ē-k-u-l-ə	ㄖㄧㄍㄨㄌㄦ	給
recombinant	recombinant	r-eco-m-b-ē-n-a-n-t	ㄖㄝㄕㄛㄇㄅㄧㄋㄢㄉ	重組
recombinant DNA	recombinant diː-ɛn-eɪ	r-eco-m-b-ē-n-a-n-t- -d-ē-é-n-ā	ㄖㄝㄕㄛㄇㄅㄧㄋㄢㄉ ㄉㄧ-ㄜㄋ-ㄝㄧ	重組
recombination	ˌriːˌkɒmbɪˈneɪʃən	r-ē-k-o-m-b-i-n-ā-sh-ə-n	ㄖㄧㄍㄛㄇㄅㄧㄋㄝㄧㄕㄣ	再組合
recombine	ˌriːˈkɒmbaɪn	r-ē-k-o-m-b-ī-n	ㄖㄧㄍㄛㄇㄅㄚㄧㄋ	再結合
recommence	ˌriːkəˈmɛns	r-ē-k-ə-m-é-n-s	ㄖㄧㄍㄦㄇㄜㄋㄙ	重新開始
recommend	ˌrɛkəˈmɛnd	r-é-k-ə-m-é-n-d	ㄖㄜㄍㄦㄇㄜㄋㄉ	推薦
recommendation	ˌrɛkəmɛnˈdeɪʃən	r-é-k-ə-m-é-n-d-ā-sh-ə-n	ㄖㄜㄍㄦㄇㄜㄋㄉㄝㄧㄕㄣ	推薦
recommit	ˌriːkəˈmɪt	r-ē-k-ə-m-i-t	ㄖㄧㄍㄦㄇㄧㄉ	把
recompense	ˈrɛkəmpɛns	r-é-k-ə-m-p-é-n-s	ㄖㄜㄍㄦㄇㄅㄜㄋㄙ	報償
recompose	ˌriːkəmˈpəʊz	r-ē-k-ə-m-p-ə-oo-z	ㄖㄧㄍㄦㄇㄅㄦㄡㄗ	重組
recon	ˌriːˈkɒn	r-ē-k-o-n	ㄖㄧㄍㄛㄋ	偵察
reconcilable	ˈrɛkənsaɪləbl	r-é-k-ə-n-s-ī-l-ə-b-l	ㄖㄜㄍㄣㄙㄚㄧㄌㄦㄅㄌ	可和解的
reconcile	ˈrɛkənsaɪl	r-é-k-ə-n-s-ī-l	ㄖㄜㄍㄣㄙㄚㄧㄌ	使和解
reconciliation	ˌrɛkənsɪlɪˈeɪʃən	r-é-k-ə-n-s-i-l-i-ā-sh-ə-n	ㄖㄜㄍㄣㄙㄧㄌㄧㄝㄧㄕㄣ	和解
recondite	rɪˈkɒndaɪt	r-i-k-o-n-d-ī-t	ㄖㄧㄍㄛㄋㄉㄚㄧㄉ	深奧的
recondition	ˌriːkənˈdɪʃən	r-ē-k-ə-n-d-i-sh-ə-n	ㄖㄧㄍㄣㄉㄧㄕㄣ	修理
reconfirm	ˌriːkənˈfɜːm	r-ē-k-ə-n-f-û-m	ㄖㄧㄍㄣㄈㄦㄇ	再證實
reconnaissance	rɪˈkɒnɪsəns	r-i-k-o-n-i-s-ə-n-s	ㄖㄧㄍㄛㄋㄧㄙㄣㄙ	偵察
reconnoitre	ˌrɛkəˈnɔɪtə	r-é-k-ə-n-o-ē-t-ə	ㄖㄜㄍㄦㄋㄛㄧㄉㄦ	偵察
reconquer	ˌriːˈkɒŋkə	r-ē-k-o-ng-k-ə	ㄖㄧㄍㄛㄥㄍㄦ	再征服
reconsider	ˌriːkənˈsɪdə	r-ē-k-ə-n-s-i-d-ə	ㄖㄧㄍㄣㄙㄧㄉㄦ	再考慮
reconsideration	ˌriːkənˌsɪdəˈreɪʃən	r-ē-k-ə-n-s-i-d-ə-r-ā-sh-ə-n	ㄖㄧㄍㄣㄙㄧㄉㄦㄖㄝㄧㄕㄣ	再考慮
reconsolidate	ˌriːkənˈsɒlɪdeɪt	r-ē-k-ə-n-s-o-l-i-d-ā-t	ㄖㄧㄍㄣㄙㄛㄌㄧㄉㄝㄧㄉ	重新鞏固
reconstitute	riːˈkɒnstɪˌtjuːt	r-ē-k-o-n-s-t-i-t-yü-t	ㄖㄧㄍㄛㄋㄙㄉㄧㄉㄡㄨㄉ	重新組成
reconstruct	ˌriːkənsˈtrʌkt	r-ē-k-ə-n-s-t-r-u-k-t	ㄖㄧㄍㄣㄙㄉㄖㄨㄍㄉ	重建
reconstruction	ˌriːkənsˈtrʌkʃən	r-ē-k-ə-n-s-t-r-u-k-sh-ə-n	ㄖㄧㄍㄣㄙㄉㄖㄨㄍㄕㄣ	改造
reconvert	ˌriːˈkɒnvɜːt	r-ē-k-o-n-v-û-t	ㄖㄧㄍㄛㄋㄈㄦㄉ	再轉變
record	ˈrɛkɔːd	r-é-k-ô-d	ㄖㄜㄍㄛㄉ	記錄
record player	ˈrɛkɔːd ˈpleɪə	r-é-k-ô-d- -p-l-ā-ə	ㄖㄜㄍㄛㄉ ㄅㄌㄝㄧㄦ	電唱機
record-breaking	ˈrɛkɔːd-ˈbreɪkɪŋ	r-é-k-ô-d-b-r-ā-k-i-ng	ㄖㄜㄍㄛㄉ-ㄅㄖㄝㄧㄍㄧㄥ	打破記錄的
recorder	rɪˈkɔːdə	r-i-k-ô-d-ə	ㄖㄧㄍㄛㄉㄦ	記錄員
recording	rɪˈkɔːdɪŋ	r-i-k-ô-d-i-ng	ㄖㄧㄍㄛㄉㄧㄥ	記錄的
recordist	rɪˈkɔːdɪst	r-i-k-ô-d-i-s-t	ㄖㄧㄍㄛㄉㄧㄙㄉ	錄音師
recount	ˌriːˈkaʊnt	r-ē-k-o-w-n-t	ㄖㄧㄍㄚㄡㄋㄉ	詳述
recoup	rɪˈkuːp	r-i-k-ū-p	ㄖㄧㄍㄨㄅ	償還
recourse	rɪˈkɔːs	r-i-k-ô-s	ㄖㄧㄍㄛㄙ	求援
recover	rɪˈkʌvə	r-i-k-u-v-ə	ㄖㄧㄍㄨㄈㄦ	重新獲得
recoverable	rɪˈkʌvərəbl	r-i-k-u-v-ə-r-ə-b-l	ㄖㄧㄍㄨㄈㄦㄖㄦㄅㄌ	可回復的
recovery	rɪˈkʌvəri	r-i-k-u-v-ə-r-ē	ㄖㄧㄍㄨㄈㄦㄖㄧ	恢復
recovery time	rɪˈkʌvəri taɪm	r-i-k-u-v-ə-r-ē- -t-ī-m	ㄖㄧㄍㄨㄈㄦㄖㄧ ㄉㄚㄧㄇ	恢復時間
recreant	ˈrɛkrɪənt	r-é-k-r-ē-ə-n-t	ㄖㄜㄍㄖㄧㄣㄉ	膽小的
recreate	ˈrɛkrɪeɪt	r-é-k-r-i-ā-t	ㄖㄜㄍㄖㄧㄝㄧㄉ	得到休養
recreation	ˌriːkrɪˈeɪʃən	r-ē-k-r-i-ā-sh-ə-n	ㄖㄧㄍㄖㄧㄝㄧㄕㄣ	娛樂
recreational	ˌrɛkrɪˈeɪʃənl	r-é-k-r-i-ā-sh-ə-n-l	ㄖㄜㄍㄖㄧㄝㄧㄕㄣㄌ	消遣的
recriminate	rɪˈkrɪmɪneɪt	r-i-k-r-i-m-i-n-ā-t	ㄖㄧㄍㄖㄧㄇㄧㄋㄝㄧㄉ	反責
recrimination	rɪˌkrɪmɪˈneɪʃən	r-i-k-r-i-m-i-n-ā-sh-ə-n	ㄖㄧㄍㄖㄧㄇㄧㄋㄝㄧㄕㄣ	反責
recriminative	rɪˈkrɪmɪnətɪv	r-i-k-r-i-m-i-n-ə-t-i-v	ㄖㄧㄍㄖㄧㄇㄧㄋㄦㄉㄧㄈ	反控的
recrudesce	ˌriːkruːˈdɛs	r-ē-k-r-ū-d-é-s	ㄖㄧㄍㄖㄨㄉㄜㄙ	復發
recruit	rɪˈkruːt	r-i-k-r-ū-t	ㄖㄧㄍㄖㄨㄉ	新兵
recruitment	rɪˈkruːtmənt	r-i-k-r-ū-t-m-ə-n-t	ㄖㄧㄍㄖㄨㄉㄇㄣㄉ	新兵征召
rect.	rect.	r-ec-t-.	ㄖㄝㄕㄉ.	精溜的
recta	ˈrɛktə	-r-é-k-t-ə	ㄖㄜㄍㄉㄦ	直腸
rectal	ˈrɛktəl	r-é-k-t-ə-l	ㄖㄜㄍㄉㄦㄌ	直腸的
rectangle	ˈrɛkˌtæŋgl	r-é-k-t-a-ng-g-l	ㄖㄜㄍㄉㄚㄥㄍㄌ	長方形
rectangular	rɛkˈtæŋgjʊlə	r-é-k-t-a-ng-g-y-oo-l-ə	ㄖㄜㄍㄉㄚㄥㄍㄡㄡㄌㄦ	成直角的
rectified spirit	ˈrɛktɪfaɪd ˈspɪrɪt	r-é-k-t-i-f-ī-d- -s-p-i-r-i-t	ㄖㄜㄍㄉㄧㄈㄚㄧㄉ ㄙㄅㄧㄖㄧㄉ	精餾酒精
rectifier	ˈrɛktɪfaɪə	r-é-k-t-i-f-ī-ə	ㄖㄜㄍㄉㄧㄈㄚㄧㄦ	改正者
rectify	ˈrɛktɪfaɪ	r-é-k-t-i-f-ī	ㄖㄜㄍㄉㄧㄈㄚㄧ	訂正
rectilinear	ˌrɛktɪˈlɪnɪə	r-é-k-t-i-l-i-n-ē-ə	ㄖㄜㄍㄉㄧㄌㄧㄋㄧㄦ	成直線
rectitude	ˈrɛktɪtjuːd	r-é-k-t-i-t-yü-d	ㄖㄜㄍㄉㄧㄉㄡㄨㄉ	正直
recto	ˈrɛktəʊ	r-é-k-t-ə-oo	ㄖㄜㄍㄉㄦㄡ	右頁
rectocele	rectocele	r-ec-t-oce-l-e	ㄖㄝㄕㄉㄛㄕㄝㄌㄝ	直腸突出
rector	ˈrɛktə	-r-é-k-t-ə	ㄖㄜㄍㄉㄦ	教區長
rectum	ˈrɛktəm	r-é-k-t-ə-m	ㄖㄜㄍㄉㄦㄇ	直腸
rectus	rectus	r-ec-t-ū-s	ㄖㄝㄕㄉㄨㄙ	直的
recumbent	rɪˈkʌmbənt	r-i-k-u-m-b-ə-n-t	ㄖㄧㄍㄨㄇㄅㄣㄉ	斜靠著的
recuperate	rɪˈkjuːpəreɪt	r-i-k-yü-p-ə-r-ā-t	ㄖㄧㄍㄡㄨㄅㄦㄖㄝㄧㄉ	恢復
recuperation	rɪˌkjuːpəˈreɪʃən	r-i-k-yü-p-ə-r-ā-sh-ə-n	ㄖㄧㄍㄡㄨㄅㄦㄖㄝㄧㄕㄣ	恢復
recuperative	rɪˈkjuːpərətɪv	r-i-k-yü-p-ə-r-ə-t-i-v	ㄖㄧㄍㄡㄨㄅㄦㄖㄦㄉㄧㄈ	恢復的
recuperator	rɪˈkjuːpəreɪtə	r-i-k-yü-p-ə-r-ā-t-ə	ㄖㄧㄍㄡㄨㄅㄦㄖㄝㄧㄉㄦ	復原的人
recur	rɪˈkɜː	r-i-k-û	ㄖㄧㄍㄦ	復發
recurrent	rɪˈkʌrənt	r-i-k-u-r-ə-n-t	ㄖㄧㄍㄨㄖㄣㄉ	再發生的
recurring decimal	rɪˈkɜːrɪŋ ˈdɛsɪməl	r-i-k-û-r-i-ng- -d-é-s-i-m-ə-l	ㄖㄧㄍㄦㄖㄧㄥ ㄉㄜㄙㄧㄇㄦㄌ	循環小數
recursion	recursion	r-ec-ū-r-s-ē-o-n	ㄖㄝㄕㄨㄖㄙㄧㄛㄋ	遞歸
recursion formula	recursion ˈfɔːmjʊlə	r-ec-ū-r-s-ē-o-n- -f-ô-m-y-oo-l-ə	ㄖㄝㄕㄨㄖㄙㄧㄛㄋ ㄈㄛㄇㄡㄡㄌㄦ	遞推公式
recursive	ˌriːˈkɜːsɪv	r-ē-k-û-s-i-v	ㄖㄧㄍㄦㄙㄧㄈ	循環的
recurve	riːˈkɜːv	r-ē-k-û-v	ㄖㄧㄍㄦㄈ	反彎
recycle	ˌriːˈsaɪkl	r-ē-s-ī-k-l	ㄖㄧㄙㄚㄧㄍㄌ	使再循環
red	rɛd	r-é-d	ㄖㄜㄉ	紅的
red algae	rɛd ˈælʤiː	r-é-d- -a-l-y-ē	ㄖㄜㄉ ㄚㄌㄓㄧ	紅藻
Red Army	rɛd ˈɑːmi	r-é-d- -ä-m-ē	ㄖㄜㄉ ㄚㄇㄧ	紅軍
red blood cell	rɛd blʌd sɛl	r-é-d- -b-l-u-d- -s-é-l	ㄖㄜㄉ ㄅㄌㄨㄉ ㄙㄜㄌ	紅血球
red carpet	rɛd ˈkɑːpɪt	r-é-d- -k-ä-p-i-t	ㄖㄜㄉ ㄍㄚㄅㄧㄉ	紅地毯
red cedar	rɛd ˈsiːdə	r-é-d- -s-ē-d-ə	ㄖㄜㄉ ㄙㄧㄉㄦ	紅刺柏
red cell	rɛd sɛl	r-é-d- -s-é-l	ㄖㄜㄉ ㄙㄜㄌ	紅細胞
red cent	rɛd sɛnt	r-é-d- -s-é-n-t	ㄖㄜㄉ ㄙㄜㄋㄉ	一分錢
Red Cross	rɛd krɒs	r-é-d- -k-r-o-s	ㄖㄜㄉ ㄍㄖㄛㄙ	紅十字
red ensign	rɛd ˈɛnsaɪn	r-é-d- -é-n-s-ī-n	ㄖㄜㄉ ㄜㄋㄙㄚㄧㄋ	英國商船旗
red flag	rɛd flæg	r-é-d- -f-l-a-g	ㄖㄜㄉ ㄈㄌㄚㄍ	紅旗
red gold	rɛd gəʊld	r-é-d- -g-ə-oo-l-d	ㄖㄜㄉ ㄍㄦㄡㄌㄉ	紅金
red gum	rɛd gʌm	r-é-d- -g-u-m	ㄖㄜㄉ ㄍㄨㄇ	桉樹
red heat	rɛd hiːt	r-é-d- -h-ē-t	ㄖㄜㄉ ㄏㄧㄉ	赤熱
red herring	rɛd ˈhɛrɪŋ	r-é-d- -h-é-r-i-ng	ㄖㄜㄉ ㄏㄜㄖㄧㄥ	燻鯡
red ink	rɛd ɪŋk	r-é-d- -i-ng-k	ㄖㄜㄉ ㄧㄥㄍ	紅墨水
red lead	rɛd liːd	r-é-d- -l-ē-d	ㄖㄜㄉ ㄌㄧㄉ	鉛丹
red light	rɛd laɪt	r-é-d- -l-ī-t	ㄖㄜㄉ ㄌㄚㄧㄉ	紅燈
red meat	rɛd miːt	r-é-d- -m-ē-t	ㄖㄜㄉ ㄇㄧㄉ	紅色肉類
red ocher	rɛd ocher	r-é-d- oc-h-e-r	ㄖㄜㄉ ㄛㄕㄏㄝㄖ	紅赭石
red rose	rɛd rəʊz	r-é-d- -r-ə-oo-z	ㄖㄜㄉ ㄖㄦㄡㄗ	法國薔薇
red sandalwood	rɛd sandalwood	r-é-d- -s-a-n-d-a-l-w-oo-d	ㄖㄜㄉ ㄙㄢㄉㄚㄌㄨㄛㄛㄉ	紫檀
red shift	rɛd ʃɪft	r-é-d- -sh-i-f-t	ㄖㄜㄉ ㄕㄧㄈㄉ	紅移
red tape	rɛd teɪp	r-é-d- -t-ā-p	ㄖㄜㄉ ㄉㄝㄧㄅ	官樣文章
red tide	rɛd taɪd	r-é-d- -t-ī-d	ㄖㄜㄉ ㄉㄚㄧㄉ	赤潮
red-blooded	rɛd-ˈblʌdɪd	r-é-d-b-l-u-d-i-d	ㄖㄜㄉ-ㄅㄌㄨㄉㄧㄉ	充滿活力的
red-hot	rɛd-hɒt	r-é-d-h-o-t	ㄖㄜㄉ-ㄏㄛㄉ	熾熱的
red-light district	rɛd-laɪt ˈdɪstrɪkt	r-é-d-l-ī-t- -d-i-s-t-r-i-k-t	ㄖㄜㄉ-ㄌㄚㄧㄉ ㄉㄧㄙㄉㄖㄧㄍㄉ	紅燈區
redact	rɪˈdækt	r-i-d-a-k-t	ㄖㄧㄉㄚㄍㄉ	編輯
redaction	rɪˈdækʃən	r-i-d-a-k-sh-ə-n	ㄖㄧㄉㄚㄍㄕㄣ	編輯
redan	rɪˈdæn	r-i-d-a-n	ㄖㄧㄉㄚㄋ	凸角堡
redbreast	ˈrɛdbrɛst	r-é-d-b-r-é-s-t	ㄖㄜㄉㄅㄖㄜㄙㄉ	紅胸鳥
redbud	redbud	r-e-d-b-ū-d	ㄖㄝㄉㄅㄨㄉ	紫荊
redcap	ˈrɛdkæp	r-é-d-k-a-p	ㄖㄜㄉㄍㄚㄅ	紅帽子
redcoat	ˈrɛdkəʊt	r-é-d-k-ə-oo-t	ㄖㄜㄉㄍㄦㄡㄉ	英國軍人
redcurrant	redcurrant	r-e-d-c-ū-r-r-a-n-t	ㄖㄝㄉㄕㄨㄖㄖㄢㄉ	紅醋栗
redden	ˈrɛdn	r-é-d-n	ㄖㄜㄉㄋ	變紅
reddle	ˈrɛdl	r-é-d-l	ㄖㄜㄉㄌ	紅赭石
rede	riːd	r-ē-d	ㄖㄧㄉ	忠告
redecorate	ˌriːˈdɛkəreɪt	r-ē-d-é-k-ə-r-ā-t	ㄖㄧㄉㄜㄍㄦㄖㄝㄧㄉ	重新裝飾
redeem	rɪˈdiːm	r-i-d-ē-m	ㄖㄧㄉㄧㄇ	贖回
redeemer	rɪˈdiːmə	r-i-d-ē-m-ə	ㄖㄧㄉㄧㄇㄦ	買回者
redeeming	rɪˈdiːmɪŋ	r-i-d-ē-m-i-ng	ㄖㄧㄉㄧㄇㄧㄥ	補償的
redefine	ˌriːdɪˈfaɪn	r-ē-d-i-f-ī-n	ㄖㄧㄉㄧㄈㄚㄧㄋ	重新定義
redemption	rɪˈdɛmpʃən	r-i-d-é-m-p-sh-ə-n	ㄖㄧㄉㄜㄇㄅㄕㄣ	贖回
redemption yield	rɪˈdɛmpʃən jiːld	r-i-d-é-m-p-sh-ə-n- -y-ē-l-d	ㄖㄧㄉㄜㄇㄅㄕㄣ ㄡㄧㄌㄉ	贖還收益率
redemptive	redemptive	r-e-d-e-m-p-t-ē-v-e	ㄖㄝㄉㄝㄇㄅㄉㄧㄈㄝ	贖回的
redeploy	ˌriːdɪˈplɔɪ	-r-ē-d-i-p-l-o-ē	ㄖㄧㄉㄧㄅㄌㄛㄧ	調動
redesign	ˌriːdɪˈzaɪn	r-ē-d-i-z-ī-n	ㄖㄧㄉㄧㄗㄚㄧㄋ	重新設計
redfish	redfish	r-e-d-f-ē-s-h	ㄖㄝㄉㄈㄧㄙㄏ	鮭魚
redhead	ˈrɛdˌhɛd	r-é-d-h-é-d	ㄖㄜㄉㄏㄜㄉ	紅發的人
rediffusion	ˌriːdɪˈfjuːʒən	r-ē-d-i-f-yü-zh-ə-n	ㄖㄧㄉㄧㄈㄡㄨㄓㄣ	轉播
redintegrate	rɛˈdɪntɪgreɪt	r-é-d-i-n-t-i-g-r-ā-t	ㄖㄜㄉㄧㄋㄉㄧㄍㄖㄝㄧㄉ	使復原
redirect	ˌriːdɪˈrɛkt	r-ē-d-i-r-é-k-t	ㄖㄧㄉㄧㄖㄜㄍㄉ	重新寄送
rediscount	ˌriːˈdɪskaʊnt	r-ē-d-i-s-k-o-w-n-t	ㄖㄧㄉㄧㄙㄍㄚㄡㄋㄉ	再打折扣
rediscover	ˌriːdɪsˈkʌvə	r-ē-d-i-s-k-u-v-ə	ㄖㄧㄉㄧㄙㄍㄨㄈㄦ	重新發現
redistribute	ˌriːdɪsˈtrɪbju(ː)t	r-ē-d-i-s-t-r-i-b-yü---t	ㄖㄧㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉ	重新分配
redivide	ˌriːdɪˈvaɪd	r-ē-d-i-v-ī-d	ㄖㄧㄉㄧㄈㄚㄧㄉ	再劃分
redivivus	redivivus	r-e-d-ē-v-ē-v-ū-s	ㄖㄝㄉㄧㄈㄧㄈㄨㄙ	再現的
redo	ˌriːˈduː	r-ē-d-ū	ㄖㄧㄉㄨ	再做
redolent	ˈrɛdəʊlənt	r-é-d-ə-oo-l-ə-n-t	ㄖㄜㄉㄦㄡㄌㄣㄉ	芬芳的
redouble	rɪˈdʌbl	r-i-d-u-b-l	ㄖㄧㄉㄨㄅㄌ	加倍
redoubt	rɪˈdaʊt	r-i-d-o-w-t	ㄖㄧㄉㄚㄡㄉ	多面堡
redoubtable	rɪˈdaʊtəbl	r-i-d-o-w-t-ə-b-l	ㄖㄧㄉㄚㄡㄉㄦㄅㄌ	可怕的
redound	rɪˈdaʊnd	r-i-d-o-w-n-d	ㄖㄧㄉㄚㄡㄋㄉ	被累加
redout	ˈrɛdaʊt	r-é-d-o-w-t	ㄖㄜㄉㄚㄡㄉ	紅霧視症
redpoll	ˈrɛdpəʊl	r-é-d-p-ə-oo-l	ㄖㄜㄉㄅㄦㄡㄌ	朱頂雀
redraft	ˌriːˈdrɑːft	r-ē-d-r-ä-f-t	ㄖㄧㄉㄖㄚㄈㄉ	改寫稿
redraw	ˌriːˈdrɔː	r-ē-d-r-ô	ㄖㄧㄉㄖㄛ	重畫
redress	rɪˈdrɛs	r-i-d-r-é-s	ㄖㄧㄉㄖㄜㄙ	賠償
redshank	ˈrɛdʃæŋk	r-é-d-sh-a-ng-k	ㄖㄜㄉㄕㄚㄥㄍ	紅腳鷸
redskin	ˈrɛdskɪn	r-é-d-s-k-i-n	ㄖㄜㄉㄙㄍㄧㄋ	紅皮膚人
redstart	ˈrɛdstɑːt	r-é-d-s-t-ä-t	ㄖㄜㄉㄙㄉㄚㄉ	紅尾鴝
reduce	rɪˈdjuːs	r-i-d-yü-s	ㄖㄧㄉㄡㄨㄙ	減少
reducible	rɪˈdjuːsəbl	r-i-d-yü-s-ə-b-l	ㄖㄧㄉㄡㄨㄙㄦㄅㄌ	可縮小的
reducing agent	rɪˈdjuːsɪŋ ˈeɪʤənt	r-i-d-yü-s-i-ng- -ā-y-ə-n-t	ㄖㄧㄉㄡㄨㄙㄧㄥ ㄝㄧㄓㄣㄉ	還原劑
reductant	reductant	r-e-d-ū-c-t-a-n-t	ㄖㄝㄉㄨㄕㄉㄢㄉ	還原劑
reductio ad absurdum	reductio æd absurdum	r-e-d-ū-c-t-ē-o -a-d- a-b-s-ū-r-d-ū-m	ㄖㄝㄉㄨㄕㄉㄧㄛ ㄚㄉ ㄚㄅㄙㄨㄖㄉㄨㄇ	反論證法
reduction	rɪˈdʌkʃən	r-i-d-u-k-sh-ə-n	ㄖㄧㄉㄨㄍㄕㄣ	減少
reduction gear	rɪˈdʌkʃən gɪə	r-i-d-u-k-sh-ə-n- -g-ē-ə	ㄖㄧㄉㄨㄍㄕㄣ ㄍㄧㄦ	減速齒輪
reductionism	rɪˈdʌkʃənɪz(ə)m	r-i-d-u-k-sh-ə-n-i-z-ə--m	ㄖㄧㄉㄨㄍㄕㄣㄧㄗㄦㄇ	簡化論
reductive	rɪˈdʌktɪv	r-i-d-u-k-t-i-v	ㄖㄧㄉㄨㄍㄉㄧㄈ	減少的
redundancy	rɪˈdʌndənsi	r-i-d-u-n-d-ə-n-s-ē	ㄖㄧㄉㄨㄋㄉㄣㄙㄧ	過多
redundant	rɪˈdʌndənt	r-i-d-u-n-d-ə-n-t	ㄖㄧㄉㄨㄋㄉㄣㄉ	多餘的
reduplicate	rɪˈdjuːplɪkeɪt	r-i-d-yü-p-l-i-k-ā-t	ㄖㄧㄉㄡㄨㄅㄌㄧㄍㄝㄧㄉ	反復的
redux	redux	r-e-d-ū-x	ㄖㄝㄉㄨㄏ	回復的
redwater	redwater	-r-e-d-w-a-t-e-r	ㄖㄝㄉㄨㄚㄉㄝㄖ	羊快疫
redwing	ˈrɛdwɪŋ	r-é-d-w-i-ng	ㄖㄜㄉㄨㄧㄥ	紅翼鶇
redwood	ˈrɛdwʊd	r-é-d-w-oo-d	ㄖㄜㄉㄨㄡㄉ	紅杉
reed	riːd	r-ē-d	ㄖㄧㄉ	蘆葦
reedy	ˈriːdi	r-ē-d-ē	ㄖㄧㄉㄧ	蘆葦叢生的
reef	riːf	r-ē-f	ㄖㄧㄈ	暗礁
reef knot	riːf nɒt	r-ē-f- -n-o-t	ㄖㄧㄈ ㄋㄛㄉ	帆結
reek	riːk	r-ē-k	ㄖㄧㄍ	煙
reel	riːl	r-ē-l	ㄖㄧㄌ	卷軸
reel-to-reel	riːl-tuː-riːl	r-ē-l-t-ū-r-ē-l	ㄖㄧㄌ-ㄉㄨ-ㄖㄧㄌ	卷對卷
reeve	riːv	r-ē-v	ㄖㄧㄈ	地方長官
ref	rɛf	r-é-f	ㄖㄜㄈ	裁判員
reface	ˌriːˈfeɪs	r-ē-f-ā-s	ㄖㄧㄈㄝㄧㄙ	重修表面
refashion	ˌriːˈfæʃən	r-ē-f-a-sh-ə-n	ㄖㄧㄈㄚㄕㄣ	再做
refection	rɪˈfɛkʃən	r-i-f-é-k-sh-ə-n	ㄖㄧㄈㄜㄍㄕㄣ	便餐
refectory	rɪˈfɛktəri	r-i-f-é-k-t-ə-r-ē	ㄖㄧㄈㄜㄍㄉㄦㄖㄧ	餐廳
refectory table	rɪˈfɛktəri ˈteɪbl	r-i-f-é-k-t-ə-r-ē- -t-ā-b-l	ㄖㄧㄈㄜㄍㄉㄦㄖㄧ ㄉㄝㄧㄅㄌ	狹長餐桌
refer	rɪˈfɜː	r-i-f-û	ㄖㄧㄈㄦ	提交
referee	ˌrɛfəˈriː	r-é-f-ə-r-ē	ㄖㄜㄈㄦㄖㄧ	仲裁人
reference	ˈrɛfrəns	r-é-f-r-ə-n-s	ㄖㄜㄈㄖㄣㄙ	參考
