ກ	A	k
ຈັດຮຽງລາຍການໃນການເບິ່ງນີ້ດ້ວຍຖັນ	Sort items in this view by column.	chdnynglaanykaanaynkaanebingniidwnythn
­ຈາກ	From	chaak
ຈາກການເປີດ	From the opening	chaakkaanepiid
ຈາກຄອມພິວເຕີນີ້ໄດ້	From this computer	chaakkh`mphiwehiiniiaid
ຈາກນັ້ນໃຫ້ທົດລອງຟອກເມດອີກຄັ້ງ	Then try the formula again.	chaaknnayhthodl`ngf`kemd`iikkhng
ຈາກພີຊີຂອງທ່ານ	From your PC	chaakphiisiikh`ngthaan
ຈາງຫາຍໄປ	Fades away	chaanghaanyaip
ຈໍານວນ	Number	chMaanwn
ຈຳນວນຂອງລາຍການ	Number of items	chamnwnkh`nglaanykaan
ຈຳນວນຕົວກັ່ນຕອງ	Number of filters	chamnwnhowknh`ng
ຈໍານວນຫຼາຍ	Many	chMaanwnhlaany
ຈຳລອງ	Replica	chaml`ng
ເຈົ້າຈະສາມາດຂຽນດິດຊະນິດນີ້ຖ້າເຈົ້າຕ້ອງການເພີ່ມຟາຍລົງ	You can write to this type of disc if you want to add more files.	echoaachasaamaadkhnyndidsanidniithaaechoaah`ngkaanephiimfaanylong
ເຈົ້າສາມາດຄັດລອກຟາຍໄປທີ່ໂຟນເດີເອກະສານແລ້ວຈິ່ງຍ້າຍໄປທີ່ຕຳແໜ່ງທີ່ຕັ້ງນີ້	You can copy the file to the Documents folder and then move it to this location.	echoaasaamaadkhdl`kfaanyaipthiiofnediie`kasaaneilwchingnyaanyaipthiihameihnngthiihngnii
ເຈົ້າສາມາດຕັ້ງຊື່ຟາຍໃຫ້ສັ້ນລົງແລ້ວລອງອີກຄັ້ງຫຼືລອງຕຳແໜ່ງອື່ນທີ່ມີເສັ້ນທາງທີ່ສັ້ນກວ່າ	You can shorten the file name and try again or try another location with a shorter path.	echoaasaamaadhngsyyfaanyayhsnlongeilwl`ng`iikkhnghlyyl`nghameihnng`yynthiimiiesnthaangthiisnkwaa
ເຈົ້າຍັງຕ້ອງການທີ່ຈະລວມໂຟນເດີນີ້This	You also want to include this folder “This	echoaanyngh`ngkaanthiichalwmofnediiniiThis
ເຈົ້າຕ້ອງການຂັດລອກຟາຍນີ້ໂດຍບໍ່ມີການເຂົ້າລະຫັດລັບຫຼືບໍ່	Do you want to copy this file without entering the password?	echoaah`ngkaankhdl`kfaanyniiodnybMmiikaanekhoaalahdlbhlyybM
ເຈົ້າຕ້ອງການລົບໂຟນເດີນີຢ່າງຖາວອນຫຼືບໍ່	Do you want to permanently delete the folder?	echoaah`ngkaanlobofnediiniiyaangthaaw`nhlyybM
ເຈົ້າຕ້ອງມີສິດທີ່ຈະເຮັດການກະທຳນີ້	You must have the right to perform this action.	echoaah`ngmiisidthiichaedkaankathamnii
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າກຳລັງຍ້າຍຟາຍລະບົບນີ້	†Are you sure you are moving this file system?	echoaaeinaychhlyybMwaaechoaakamlngnyaanyfaanylabobnii
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການສົ່ງລາຍການເຫຼົ່ານີ້ທັງໝົດໄປຍັງຖັງຂີ້ເຫຍື້ອ	Are you sure you want to send all of these items to the trash?	echoaaeinaychhlyybMwaaechoaah`ngkaansonglaanykaanehloaaniithnghmodaipnyngthngkhiiehnyyy`
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການຍ້າຍ	Are you sure you want to move?	echoaaeinaychhlyybMwaaechoaah`ngkaannyaany
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການຍ້າຍທ່ງລັດນີ້ໄປທີ່ຖັງຂີ້ເຫຍື້ອ	Are you sure you want to move this state to the trash?	echoaaeinaychhlyybMwaaechoaah`ngkaannyaanythngldniiaipthiithngkhiiehnyyy`
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການຍ້າຍຟາຍນີ້ໄປຍັງຖັງຂີ້ເຫຍື້ອ	Are you sure you want to move this file to the trash?	echoaaeinaychhlyybMwaaechoaah`ngkaannyaanyfaanyniiaipnyngthngkhiiehnyyy`
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການລົບຟາຍນີ້ຢ່າງຖາວອນ	Are you sure you want to permanently delete this file?	echoaaeinaychhlyybMwaaechoaah`ngkaanlobfaanyniiyaangthaaw`n
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການລົບໂຟນເດີນີ້ຢ່າງຖາວອນ	Are you sure you want to permanently delete this folder?	echoaaeinaychhlyybMwaaechoaah`ngkaanlobofnediiniiyaangthaaw`n
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການລົບລາຍການ	Are you sure you want to delete the item?	echoaaeinaychhlyybMwaaechoaah`ngkaanloblaanykaan
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການລົບລາຍການເຫຼົ່ານີ້ທັງໝົດຢ່າງຖາວອນ	Are you sure you want to permanently delete all of these items?	echoaaeinaychhlyybMwaaechoaah`ngkaanloblaanykaanehloaaniithnghmodyaangthaaw`n
ເຈົ້າແນ່ໃຈຫຼືບໍ່ວ່າເຈົ້າຕ້ອງການເອົາທາງລັດນີ້ອອກຢ່າງຖາວອນ	Are you sure you want to permanently remove this shortcut?	echoaaeinaychhlyybMwaaechoaah`ngkaane`oaathaangldnii``kyaangthaaw`n
ເຈົ້າບໍ່ມີສິດທີ່ຈະຄັດລອກຟາຍໄປຫາຕຳແໜ່ງທີ່ຕັ້ງນີ້ຜ່ານເຄືອຂ່າຍ	ƒYou do not have permission to copy files to this location over the network.	echoaabMmiisidthiichakhdl`kfaanyaiphaahameihnngthiihngniiphaanekhyy`khaany
ເຈົ້າມີສິດທີ່ຈະເຮັດການກະທຳນີ້	You have the right to do this.	echoaamiisidthiichaedkaankathamnii
ເຈົ້າມີຟາຍກຳລັງຖ້າການຂຽນລົງເທິງດິດ	You have a file waiting to be written to disk.	echoaamiifaanykamlngthaakaankhnynlongethingdid
ແຈ້ງເຕືອນ	Alert	eichngehyy`n
ສ່ວນຂະຫຍາຍ	Extension	swnkhahnyaany
ສ່ວນຂະຫຍາຍຂອງຊື່ໄຟລ໌	File name extension	swnkhahnyaanykh`ngsyyaifl
ສ່ວນຂະຫຍາຍຂອງແອັບພລິເຄຊັນ	Application extensions	swnkhahnyaanykh`ngei`bphliekhsn
ສ່ວນບຸກຄົນ	Personal	swnbukkhon
ສ່ວນປະກອບ	Ingredients	swnpak`b
ສອງເທື່ອ	Twice	s`ngethyy`
ສອດລາຍການທີ່ທ່ານສໍາເນົາຫຼືຕັດລົງໃນຕໍາແໜ່ງທີ່ເລືອກ	Paste the item you copied or cut into the selected position.	s`dlaanykaanthiithaansMaaenoaahlyyhdlongaynhMaaeihnngthiielyy`k
ສອນຄອມພີວເຕີໃຫ້ຮູ້ຈັກສຽງຂອງທ່ານ	Teach your computer to recognize your voice.	s`nkh`mphiiwehiiayhuuchksnyngkh`ngthaan
ສ້ອມແປງໄດຣວ໌ນີ້fພວກເຮົາໄດ້ພົບເຫັນຂໍ້ຜິດພາດໃນໄດຣວ໌ນີ້	Repair this drive. We found errors on this drive.	s`meipngaidrwniifphwkeoaaaidphobehnkhMphidphaadaynaidrwnii
ສະກຸນເງິນ	Currency	sakunengin
ສະກົດຄໍາ	Spell	sakodkhMaa
ສະກົດຄໍາຜິດ	Spelling mistake	sakodkhMaaphid
ສະແກງເດັດທອບ	Top of the line	saeikngeddth`b
ສະແກນ	Scan	saeikn
ສະແກນເນີ	Scanner	saeiknenii
ສະແກນເອກະສານຫຼືຮູບພາບ	Scan a document or image	saeikne`kasaanhlyyuubphaab
ສະແດງກະດານຄວບຄຸມນຳທິດທາງ	Show navigation control panel	saeidngkadaankhwbkhumnamthidthaang
ສະແດງການເຊື່ອມຕໍ່ເຄືອຂ່າຍທີ່ມີຢູ່ໃນຄອມພີວເຕີນີ້	Show network connections available on this computer	saeidngkaanesyy`mhMekhyy`khaanythiimiiyuuaynkh`mphiiwehiinii
ສະແດງການຢັ້ງຢືນການນຳເອົາກັບມາໃຊ້ຄືນ	Show recycling certification	saeidngkaanyngyyynkaanname`oaakbmaaayskhyyn
ສະແດງການເຮັດວຽກ	Show work	saeidngkaanedwnyk
ສະແດງຂໍ້ຄວາມການຕິດຕາມແລະການແກ້ໄຂບັນຫາຈາກ	Show tracking and troubleshooting messages from	saeidngkhMkhwaamkaanhidhaameilakaaneikaikhbnhaachaak
ສະແດງຂໍ້ມູນກ່ຽວກັບຄອມພີວເຕີຂອງທ່ານ	Show information about your computer	saeidngkhMmuunknywkbkh`mphiiwehiikh`ngthaan
ສະແດງຂໍ້ມູນກ່ຽວກັບແຕ່ລະລາຍການໃນວິນໂດ	Displays information about each item in the window.	saeidngkhMmuunknywkbeihlalaanykaanaynwinod
ສະແດງຂໍ້ມູນກ່ຽວກັບລາຍການແຕ່ລະລາຍການໃນວິນໂດໂດຍໃຊ້ການຈັດລຽງຕໍ່ກັນ	Displays information about each item in a window using a sequential arrangement.	saeidngkhMmuunknywkblaanykaaneihlalaanykaanaynwinododnyayskaanchdlnynghMkn
ສະແດງຂໍ້ມູນກ່ຽວກັບອຸປະກອນຫຼືອຸປະກອນທີ່ເລືອກ	Displays information about the selected device or devices.	saeidngkhMmuunknywkb`upak`nhlyy`upak`nthiielyy`k
ສະແດງຂໍ້ມູນຂະໜາດຟາຍຂອງແຖບປະຈຳວັນກ່ຽວກັບໂຟນເດີ	Show file size information of daily tabs about folders	saeidngkhMmuunkhahnaadfaanykh`ngeithbpachamwnknywkbofnedii
ສະແດງຂໍ້ມູນທີ່ແນ່ນອນກ່ຽວກັບແຕ່ລະລາຍການທີ່ຢູ່ໃນ	Show specific information about each item in	saeidngkhMmuunthiieinn`nknywkbeihlalaanykaanthiiyuuayn
ສະແດງຂໍ້ມູນລະບົບປັດຈຸບັນ	Show current system information	saeidngkhMmuunlabobpdchubn
ສະແດງຂະໜາດ	Show size	saeidngkhahnaad
ສະແດງຄັງ	Show gallery	saeidngkhng
ສະແດງຄັງນີ້ໃນໜ້າຕ່າງການນຳເສັ້ນທາງ	Show this gallery in the navigation window	saeidngkhngniiaynhnaahaangkaannamesnthaang
ສະແດງຄໍາສັ່ງເພີ່ມເຕີມ	Show more commands	saeidngkhMaasngephiimehiim
ສະແດງຄຳແນະນຳເຄື່ອງມືໃນລັກສະນະເຮັດໃຫ້ຈາງ	Show tooltips in a faded appearance	saeidngkhameinanamekhyy`ngmyyaynlksanaedayhchaang
ສະແດງຄຳອະທິບາຍແບບ	Show explanation	saeidngkham`athibaanyeibb
ສະແດງຄຸນສົມບັດຂອງລາຍການທີ່ເລືອກ	Show properties of the selected item.	saeidngkhunsombdkh`nglaanykaanthiielyy`k
ສະແດງຄຸນສົມບັດສຳລັບລາຍການທີ່ເລືອກ	Show properties for the selected item.	saeidngkhunsombdsamlblaanykaanthiielyy`k
ສະແດງຄຸນສົມບັດສໍາັລບໂຟນເດີ້ນິ້	Show folder properties	saeidngkhunsombdsMaalbofnediini
ສະແດງເຄື່ອງມືຊ່ວຍບໍ່ລິຫານ	Show non-administrative tools	saeidngekhyy`ngmyyswnybMlihaan
ສະແດງເງົາທາງຂ້າງລຸ່ມຕົວຊີ້ເມົາສ	Show a shadow below the mouse pointer.	saeidngengoaathaangkhaanglumhowsiiemoaas
ສະແດງເງົາຢູ່ໃຕ້	Show the shadow below.	saeidngengoaayuuayh
ສະແດງຈຳນວນ	Show number	saeidngchamnwn
ສະແດງສີ່ແຫຼ່ມການເລືອກແບບຝາ	Show four wall style options	saeidngsiieihlmkaanelyy`keibbfaa
ສະແດງເສັ້ນທາງຢ່າງເຕັມທີ່ໃນແຖບຫົວຂໍ້	Show full path in title bar	saeidngesnthaangyaangehmthiiayneithbhowkhM
ສະແດງດິສໄດຣແລະຮາດແວທີ່ເຊື່ອມຕໍ່ກັບຄອມພີວເຕີນີ້	Show disk drives and hardware connected to this computer.	saeidngdisaidreilaaadeiwthiiesyy`mhMkbkh`mphiiwehiinii
ສະແດງເດັກທັອບ	Show top kids	saeidngedkth`b
ສະແດງຕົວຈັດການຕົວຢ່າງໃນ	Show sample handler in	saeidnghowchdkaanhowyaangayn
ສະແດງຕົວຢ່າງ	Show example	saeidnghowyaang
ສະແດງຕົວໜັງສືອຸປະກອນ	Show device font	saeidnghowhnngsyy`upak`n
ສະແດງຖັນຂອງຂໍ້ມູນເພີ່ມ	Show additional columns of information	saeidngthnkh`ngkhMmuunephiim
ສະແດງແຖບສະຖານະ	Show status bar	saeidngeithbsathaana
ສະແດງທັງໝົດ	Show all	saeidngthnghmod
ສະແດງເນື້ອໃນຂອງໜ້າຕ່າງຂະນະລາກ	Show window contents while dragging	saeidngenyy`aynkh`nghnaahaangkhanalaak
ສະແດງໃນເມນູໂປຣແກຣມທັງໝົດ	Show in all program menus	saeidngaynemnuuopreikrmthnghmod
ສະແດງໃນເມນູໂປຣແກຣມທັງໝົດແລະເມນູເລີ້ມຕົ້ນ	Show in All Programs menu and Start menu	saeidngaynemnuuopreikrmthnghmodeilaemnuueliimhon
ສະແດງໃນຮູບຂອງການເຊື່ອມຕໍ່	Shown in the picture of the link	saeidngaynuubkh`ngkaanesyy`mhM
ສະແດງໃນຮູບຂອງເມນູ	Shown in the menu image	saeidngaynuubkh`ngemnuu
ສະແດງແບບອັດຕະໂນມັດ	Show automatically	saeidngeibb`dhaonmd
ສະແດງປະຫວັດສໍາລັບລາຍການທີ່ເລືອກໄວ້	Show history for selected items	saeidngpahwdsMaalblaanykaanthiielyy`kaiw
ສະແດງແປ້ນພີມທີ່ຖືກຄວບຄຸມໂດຍເມົ້າຫຼືອຸປະກອນປ້ອນຂໍ້ມູນແບບອື່ນ	Show keyboard controlled by mouse or other input device	saeidngeipnphiimthiithyykkhwbkhumodnyemoaahlyy`upak`np`nkhMmuuneibb`yyn
ສະແດງໂປແກມທີ່ຕິດຕັ້ງເທິງຄອມພິວເຕີ້ຂອງຂ້ອຍ	Show programs installed on my computer	saeidngopeikmthiihidhngethingkh`mphiwehiikh`ngkh`ny
ສະແດງຜົນ	Show results	saeidngphon
ສະແດງພາບຂະໜາດນ້ອຍແທນໄອຄອນ	Show thumbnails instead of icons.	saeidngphaabkhahnaadn`nyeithnai`kh`n
ສະແດງຟາຍ	Show file	saeidngfaany
ສະແດງຟາຍການເຂົ້າກັນໄດ້ສຳລັບກຸ່ມນີ້	Show compatibility files for this group	saeidngfaanykaanekhoaaknaidsamlbkumnii
ສະແດງຟາຍແລະໂຟເດີທີ່ຊ້ອນໄວ້	Show hidden files and folders	saeidngfaanyeilaofediithiis`naiw
ສະແດງຟາຍແລະໂຟນເດີເທິງຄອມພີວເຕີຂອງທ່ານ	Show files and folders on your computer	saeidngfaanyeilaofnediiethingkh`mphiiwehiikh`ngthaan
ສະແດງເຟຣມຂອງເວລາ	Show time frame	saeidngefrmkh`ngewlaa
ສະແດງໂຟນເດີທັງໝົດ	Show all folders	saeidngofnediithnghmod
ສະແດງໄຟລ໌	Show file	saeidngaifl
ສະແດງເມນູຕະຫຼອດ	Always show menu	saeidngemnuuhahl`d
ສະແດງເມນູໃນລັກສະນະທີ່ເຮັດໃຫ້ຈາງລົງຫຼືເລື່ອນ	Display the menu in a faded or scrolling manner.	saeidngemnuuaynlksanathiiedayhchaanglonghlyyelyy`n
ສະແດງລະບົບປະຕິບັດການທີ່ຕິດຕັ້ງເທິງຄອມພິວເຕີ້ຂອງຂ້ອຍ	Show the operating system installed on my computer.	saeidnglabobpahibdkaanthiihidhngethingkh`mphiwehiikh`ngkh`ny
ສະແດງລາຍການໂດຍໃຊ້ຮູບຂະໜາດຫຍໍ້ຂະໜາດກາງ	Show items using medium-sized thumbnails	saeidnglaanykaanodnyaysuubkhahnaadhnyMkhahnaadkaang
ສະແດງລາຍການໂດຍໃຊ້ຮູບຂະໜາດຫຍໍ້ຂະໜາດນ້ອຍ	Show items using small thumbnails	saeidnglaanykaanodnyaysuubkhahnaadhnyMkhahnaadn`ny
ສະແດງລາຍການໂດຍໃຊ້ຮູບຂະໜາດຫຍໍ້ຂະໜາດໄຫ່ຍ	Show items using large thumbnails	saeidnglaanykaanodnyaysuubkhahnaadhnyMkhahnaadaihny
ສະແດງລາຍການໂດຍໃຊ້ຮູບຂະໜາດຫຍໍ້ຂະໜາດໄຫ່ຍພິເສດ	Show items using special large-sized thumbnails	saeidnglaanykaanodnyaysuubkhahnaadhnyMkhahnaadaihnyphiesd
ສະແດງລາຍການໂດຍນຳໃຊ້	Show items using	saeidnglaanykaanodnynamays
ສະແດງລາຍການໃນກຸ້ມທີ່ເລືອກ	Show items in the selected group	saeidnglaanykaanaynkumthiielyy`k
ສະແດງລາຍການໃນທຸກກຸ່ມ	Show items in all groups	saeidnglaanykaanaynthukkum
ສະແດງລາຍການມັກ	Show favorites	saeidnglaanykaanmk
ສະແດງລາຍການຢູ່ໃນບັນຊີລາຍການ	Show items in the list	saeidnglaanykaanyuuaynbnsiilaanykaan
ສະແດງລາຍລະອຽດ	Show details	saeidnglaanyla`nyd
ສະແດງລາຍລະອຽດຂອງການນັດໝາຍ	Show appointment details	saeidnglaanyla`nydkh`ngkaanndhmaany
ສະແດງລາຍລະອຽດເພີ້ມເຕີມ	Show more details	saeidnglaanyla`nydephiimehiim
ສະແດງວ່າອາດຖືກຍ້າຍ	Indicates that it may be moved.	saeidngwaa`aadthyyknyaany
ສະແດງໜ້າຕ່າງການເບິ່ງຕົວຢ່າງ	Show preview window	saeidnghnaahaangkaanebinghowyaang
